deviceID,aX,aY,aZ,gX,gY,gZ
deviceID,aX,aY,aZ,gX,gY,gZ
SPU1,-0.17,-9.01,-2.57,-0.02,-0.12,-0.11
SPU1,0.32,-9.20,-2.41,-0.02,-0.12,-0.11
SPU1,0.29,-9.16,-2.45,-0.02,-0.12,-0.11
SPU1,-0.29,-9.13,-2.34,-0.02,-0.12,-0.11
SPU1,0.17,-9.16,-2.34,-0.02,-0.12,-0.11
SPU1,0.17,-9.09,-2.37,-0.02,-0.12,-0.11
SPU1,0.32,-9.13,-2.41,-0.02,-0.12,-0.11
SPU1,0.02,-9.05,-2.34,-0.02,-0.12,-0.11
SPU1,0.40,-9.09,-2.41,-0.02,-0.12,-0.11
SPU1,0.06,-9.13,-2.37,-0.02,-0.12,-0.11
SPU1,0.17,-9.13,-2.37,-0.02,-0.12,-0.11
SPU1,0.17,-9.13,-2.37,-0.00,0.02,-0.02
SPU1,0.13,-9.13,-2.41,-0.00,0.02,-0.02
SPU1,0.13,-9.13,-2.41,-0.04,-0.04,-0.02
SPU1,0.13,-9.13,-2.41,0.00,0.06,0.00
SPU1,0.21,-9.16,-2.45,0.00,0.06,0.00
SPU1,0.21,-9.16,-2.45,0.02,0.04,0.00
SPU1,0.21,-9.16,-2.45,-0.02,0.03,0.00
SPU1,0.25,-8.97,-2.41,-0.02,0.03,0.00
SPU1,0.29,-8.97,-2.45,-0.02,0.03,0.00
SPU1,0.09,-9.13,-2.53,-0.02,0.03,0.00
SPU1,0.21,-9.13,-2.41,-0.02,0.03,0.00
SPU1,0.48,-9.24,-2.45,-0.02,0.03,0.00
SPU1,0.17,-9.13,-2.41,-0.02,0.03,0.00
SPU1,0.17,-9.13,-2.41,0.00,-0.01,0.00
SPU1,0.13,-9.05,-2.49,0.00,-0.01,0.00
SPU1,0.29,-9.01,-2.41,0.00,-0.01,0.00
SPU1,0.29,-9.01,-2.41,-0.03,-0.04,-0.02
SPU1,0.48,-9.16,-2.45,-0.03,-0.04,-0.02
SPU1,0.48,-9.16,-2.45,-0.01,-0.02,-0.01
SPU1,0.48,-9.16,-2.45,-0.00,0.02,-0.03
SPU1,0.48,-9.16,-2.45,-0.01,-0.02,-0.01
SPU1,0.48,-9.16,-2.45,-0.02,-0.02,-0.01
SPU1,0.48,-9.16,-2.45,0.01,0.04,-0.00
SPU1,0.17,-9.05,-2.49,0.01,0.04,-0.00
SPU1,0.32,-9.09,-2.53,0.01,0.04,-0.00
SPU1,0.44,-9.05,-2.49,0.01,0.04,-0.00
SPU1,0.36,-9.09,-2.49,0.01,0.04,-0.00
SPU1,0.29,-9.05,-2.45,0.01,0.04,-0.00
SPU1,0.44,-9.05,-2.49,0.01,0.04,-0.00
SPU1,0.32,-9.09,-2.49,0.01,0.04,-0.00
SPU1,0.25,-9.05,-2.41,0.01,0.04,-0.00
SPU1,0.25,-9.05,-2.41,0.00,0.04,0.01
SPU1,0.21,-9.05,-2.57,0.00,0.04,0.01
SPU1,0.21,-9.05,-2.57,-0.00,-0.16,-0.01
SPU1,0.21,-9.05,-2.57,-0.01,-0.07,-0.02
SPU1,0.59,-9.13,-2.53,-0.01,-0.07,-0.02
SPU1,0.59,-9.13,-2.53,0.01,0.01,0.02
SPU1,0.59,-9.13,-2.53,-0.01,0.05,0.01
SPU1,0.59,-9.13,-2.53,0.02,-0.01,0.00
SPU1,0.17,-9.20,-2.41,0.02,-0.01,0.00
SPU1,0.48,-9.20,-2.57,0.02,-0.01,0.00
SPU1,0.44,-9.09,-2.41,0.02,-0.01,0.00
SPU1,0.36,-9.16,-2.49,0.02,-0.01,0.00
SPU1,0.17,-9.09,-2.41,0.02,-0.01,0.00
SPU1,0.25,-9.13,-2.41,0.02,-0.01,0.00
SPU1,0.29,-9.05,-2.45,0.02,-0.01,0.00
SPU1,0.29,-9.01,-2.41,0.02,-0.01,0.00
SPU1,0.21,-9.20,-2.41,0.02,-0.01,0.00
SPU1,0.29,-9.01,-2.45,0.02,-0.01,0.00
SPU1,0.29,-9.01,-2.45,0.00,-0.01,-0.00
SPU1,0.32,-9.09,-2.41,0.00,-0.01,-0.00
SPU1,0.32,-9.09,-2.41,0.00,-0.03,0.01
SPU1,0.32,-9.09,-2.41,0.05,-0.01,0.01
SPU1,0.40,-9.05,-2.53,0.05,-0.01,0.01
SPU1,0.40,-9.05,-2.53,-0.02,-0.01,0.01
SPU1,0.52,-9.05,-2.41,-0.02,-0.01,0.01
SPU1,0.25,-9.20,-2.49,-0.02,-0.01,0.01
SPU1,0.21,-9.16,-2.34,-0.02,-0.01,0.01
SPU1,0.52,-9.05,-2.41,-0.02,-0.01,0.01
SPU1,0.32,-9.13,-2.41,-0.02,-0.01,0.01
SPU1,0.36,-9.13,-2.41,-0.02,-0.01,0.01
SPU1,0.29,-9.09,-2.45,-0.02,-0.01,0.01
SPU1,0.29,-9.09,-2.45,0.02,-0.01,-0.01
SPU1,0.36,-9.05,-2.41,0.02,-0.01,-0.01
SPU1,0.36,-9.05,-2.41,0.01,0.01,0.00
SPU1,0.36,-9.05,-2.41,0.02,0.03,-0.01
SPU1,0.25,-9.05,-2.34,0.02,0.03,-0.01
SPU1,0.25,-9.05,-2.34,0.01,0.01,0.00
SPU1,0.36,-9.16,-2.41,0.01,0.01,0.00
SPU1,0.36,-9.16,-2.41,-0.00,-0.03,0.00
SPU1,0.36,-9.16,-2.41,0.00,0.06,0.01
SPU1,0.36,-9.16,-2.41,0.02,-0.00,0.01
SPU1,0.40,-9.20,-2.45,0.02,-0.00,0.01
SPU1,0.32,-9.05,-2.37,0.02,-0.00,0.01
SPU1,0.44,-9.09,-2.37,0.02,-0.00,0.01
SPU1,0.40,-9.16,-2.41,0.02,-0.00,0.01
SPU1,0.36,-9.16,-2.37,0.02,-0.00,0.01
SPU1,0.44,-9.05,-2.37,0.02,-0.00,0.01
SPU1,0.29,-9.16,-2.37,0.02,-0.00,0.01
SPU1,0.44,-9.01,-2.37,0.02,-0.00,0.01
SPU1,0.44,-9.01,-2.37,-0.01,-0.03,0.01
SPU1,0.48,-9.16,-2.41,-0.01,-0.03,0.01
SPU1,0.48,-9.16,-2.41,-0.01,-0.01,0.01
SPU1,0.48,-9.16,-2.41,-0.02,-0.05,-0.00
SPU1,0.36,-9.16,-2.37,-0.02,-0.05,-0.00
SPU1,0.36,-9.16,-2.37,0.00,0.01,0.00
SPU1,0.36,-9.16,-2.37,-0.01,-0.01,0.00
SPU1,0.29,-9.20,-2.34,-0.01,-0.01,0.00
SPU1,0.40,-9.13,-2.49,-0.01,-0.01,0.00
SPU1,0.36,-9.13,-2.41,-0.01,-0.01,0.00
SPU1,0.29,-9.16,-2.37,-0.01,-0.01,0.00
SPU1,0.40,-9.05,-2.37,-0.01,-0.01,0.00
SPU1,0.13,-9.01,-2.34,-0.01,-0.01,0.00
SPU1,0.13,-9.01,-2.34,0.02,-0.03,0.00
SPU1,0.29,-9.05,-2.37,0.02,-0.03,0.00
SPU1,0.29,-9.05,-2.37,-0.02,0.03,-0.00
SPU1,0.29,-9.05,-2.37,0.01,-0.01,-0.01
SPU1,0.25,-9.20,-2.45,0.01,-0.01,-0.01
SPU1,0.25,-9.20,-2.45,-0.04,0.02,0.00
SPU1,0.25,-9.20,-2.45,-0.01,-0.05,-0.01
SPU1,0.25,-9.20,-2.45,0.03,-0.02,-0.01
SPU1,0.25,-9.20,-2.45,-0.01,-0.01,0.01
SPU1,0.13,-9.20,-2.41,-0.01,-0.01,0.01
SPU1,0.25,-9.05,-2.37,-0.01,-0.01,0.01
SPU1,0.40,-9.13,-2.45,-0.01,-0.01,0.01
SPU1,0.29,-9.24,-2.45,-0.01,-0.01,0.01
SPU1,0.25,-9.05,-2.41,-0.01,-0.01,0.01
SPU1,0.32,-9.13,-2.37,-0.01,-0.01,0.01
SPU1,0.32,-9.13,-2.37,-0.00,-0.02,0.00
SPU1,0.40,-9.09,-2.41,-0.00,-0.02,0.00
SPU1,0.09,-8.97,-2.30,-0.00,-0.02,0.00
SPU1,0.09,-8.97,-2.30,0.02,0.00,-0.00
SPU1,0.25,-9.05,-2.41,0.02,0.00,-0.00
SPU1,0.25,-9.05,-2.41,0.00,-0.02,-0.01
SPU1,0.25,-9.05,-2.41,-0.00,-0.00,-0.01
SPU1,0.32,-9.09,-2.37,-0.00,-0.00,-0.01
SPU1,0.32,-9.09,-2.37,0.01,-0.00,-0.00
SPU1,0.32,-9.09,-2.37,-0.00,0.01,0.00
SPU1,0.36,-9.16,-2.37,-0.00,0.01,0.00
SPU1,0.21,-9.01,-2.37,-0.00,0.01,0.00
SPU1,0.32,-9.09,-2.41,-0.00,0.01,0.00
SPU1,0.44,-9.05,-2.41,-0.00,0.01,0.00
SPU1,0.06,-9.05,-2.34,-0.00,0.01,0.00
SPU1,0.40,-9.01,-2.41,-0.00,0.01,0.00
SPU1,0.40,-9.01,-2.41,0.00,-0.02,-0.01
SPU1,0.36,-9.13,-2.37,0.00,-0.02,-0.01
SPU1,0.36,-9.13,-2.37,-0.01,-0.02,-0.01
SPU1,0.36,-9.13,-2.37,0.00,0.00,-0.00
SPU1,0.29,-9.20,-2.34,0.00,0.00,-0.00
SPU1,0.29,-9.20,-2.34,0.01,0.00,0.00
SPU1,0.29,-9.05,-2.34,0.01,0.00,0.00
SPU1,0.29,-9.05,-2.34,-0.00,0.01,0.00
SPU1,0.29,-9.05,-2.34,0.01,0.00,-0.00
SPU1,0.29,-9.05,-2.34,0.00,-0.02,0.00
SPU1,0.40,-9.20,-2.37,0.00,-0.02,0.00
SPU1,0.32,-9.16,-2.37,0.00,-0.02,0.00
SPU1,0.17,-9.01,-2.34,0.00,-0.02,0.00
SPU1,0.40,-9.24,-2.37,0.00,-0.02,0.00
SPU1,0.17,-9.13,-2.37,0.00,-0.02,0.00
SPU1,0.48,-9.20,-2.41,0.00,-0.02,0.00
SPU1,0.29,-9.01,-2.37,0.00,-0.02,0.00
SPU1,0.32,-9.13,-2.37,0.00,-0.02,0.00
SPU1,0.32,-9.13,-2.37,-0.00,0.01,0.01
SPU1,0.25,-9.13,-2.37,-0.00,0.01,0.01
SPU1,0.25,-9.13,-2.37,-0.00,-0.03,0.00
SPU1,0.25,-9.13,-2.37,0.00,0.01,0.01
SPU1,0.32,-9.05,-2.37,0.00,0.01,0.01
SPU1,0.32,-9.05,-2.37,-0.00,-0.00,0.00
SPU1,0.32,-9.05,-2.37,0.02,0.00,0.01
SPU1,0.25,-9.16,-2.41,0.02,0.00,0.01
SPU1,0.25,-9.01,-2.37,0.02,0.00,0.01
SPU1,-0.10,-9.16,-2.30,0.02,0.00,0.01
SPU1,0.13,-9.09,-2.37,0.02,0.00,0.01
SPU1,0.55,-9.16,-2.45,0.02,0.00,0.01
SPU1,0.06,-9.16,-2.37,0.02,0.00,0.01
SPU1,0.06,-9.16,-2.37,-0.02,-0.01,0.01
SPU1,0.29,-9.16,-2.37,-0.02,-0.01,0.01
SPU1,0.29,-9.16,-2.37,0.01,0.04,0.01
SPU1,0.29,-9.16,-2.37,0.00,-0.04,0.00
SPU1,0.29,-9.09,-2.37,0.00,-0.04,0.00
SPU1,0.29,-9.09,-2.37,0.00,0.03,-0.01
SPU1,0.06,-9.13,-2.37,0.00,0.03,-0.01
SPU1,0.06,-9.13,-2.37,-0.00,0.00,0.00
SPU1,0.06,-9.13,-2.37,-0.02,-0.00,-0.01
SPU1,0.06,-9.13,-2.37,-0.01,-0.02,-0.00
SPU1,0.32,-9.16,-2.37,-0.01,-0.02,-0.00
SPU1,0.32,-9.13,-2.41,-0.01,-0.02,-0.00
SPU1,0.29,-9.05,-2.41,-0.01,-0.02,-0.00
SPU1,0.21,-9.16,-2.41,-0.01,-0.02,-0.00
SPU1,0.29,-9.09,-2.41,-0.01,-0.02,-0.00
SPU1,0.29,-9.09,-2.41,0.01,0.02,0.00
SPU1,0.09,-9.05,-2.37,0.01,0.02,0.00
SPU1,0.36,-9.16,-2.37,0.01,0.02,0.00
SPU1,0.36,-9.16,-2.37,0.01,0.04,-0.01
SPU1,0.06,-9.09,-2.37,0.01,0.04,-0.01
SPU1,0.06,-9.09,-2.37,0.00,-0.02,-0.01
SPU1,0.06,-9.09,-2.37,0.01,0.02,-0.00
SPU1,0.13,-9.13,-2.37,0.01,0.02,-0.00
SPU1,0.13,-9.13,-2.37,0.00,-0.02,-0.00
SPU1,0.13,-9.13,-2.37,-0.00,-0.02,-0.01
SPU1,0.32,-9.05,-2.45,-0.00,-0.02,-0.01
SPU1,0.21,-9.13,-2.41,-0.00,-0.02,-0.01
SPU1,0.29,-9.13,-2.41,-0.00,-0.02,-0.01
SPU1,0.29,-9.16,-2.41,-0.00,-0.02,-0.01
SPU1,0.32,-9.16,-2.45,-0.00,-0.02,-0.01
SPU1,0.25,-9.13,-2.41,-0.00,-0.02,-0.01
SPU1,0.25,-9.13,-2.41,0.01,-0.01,0.00
SPU1,0.40,-9.05,-2.45,0.01,-0.01,0.00
SPU1,0.40,-9.05,-2.45,-0.01,-0.03,0.00
SPU1,0.40,-9.05,-2.45,0.01,0.01,-0.01
SPU1,0.25,-9.05,-2.37,0.01,0.01,-0.01
SPU1,0.25,-9.05,-2.37,0.01,-0.01,-0.01
SPU1,0.25,-9.09,-2.34,0.01,-0.01,-0.01
SPU1,0.25,-9.09,-2.34,-0.01,-0.03,-0.01
SPU1,0.25,-9.09,-2.34,-0.01,0.02,0.01
deviceID,aX,aY,aZ,gX,gY,gZ
SPU4,4.08,7.58,-0.58,0.22,-0.27,0.82
SPU4,4.08,7.58,-0.58,0.02,-0.07,0.22
SPU4,4.08,7.58,-0.58,-0.33,-0.33,-0.59
SPU4,5.62,9.95,0.07,-0.33,-0.33,-0.59
SPU4,0.29,9.53,0.11,-0.33,-0.33,-0.59
SPU4,5.20,9.34,-1.92,-0.33,-0.33,-0.59
SPU4,0.87,10.26,0.18,-0.33,-0.33,-0.59
SPU4,3.20,9.46,-0.85,-0.33,-0.33,-0.59
SPU4,1.55,9.11,-0.77,-0.33,-0.33,-0.59
SPU4,2.82,9.19,-0.50,-0.33,-0.33,-0.59
SPU4,2.82,9.19,-0.50,-0.04,-0.05,-0.04
SPU4,2.17,9.57,-0.66,-0.04,-0.05,-0.04
SPU4,2.17,9.57,-0.66,-0.03,-0.21,0.00
SPU4,2.17,9.57,-0.66,0.05,-0.11,0.00
SPU4,2.48,9.61,-0.77,0.05,-0.11,0.00
